ByteHamster;Project lead;https://avatars2.githubusercontent.com/u/5811634?s=60&v=4
Keunes;Project lead;https://avatars2.githubusercontent.com/u/11229646?s=60&v=4
Femmdi;Translations coordinator;https://avatars2.githubusercontent.com/u/47671383?s=60&v=4
Ryan Gorley (Freehive);Brand design;https://avatars2.githubusercontent.com/u/12849958?s=60&v=4
221 Pixels;Initial logo design;https://avatars2.githubusercontent.com/u/58243143?s=60&v=4
Anxhelo Lushka;Initial website design;https://avatars2.githubusercontent.com/u/25004151?s=60&v=4
