Arabic;ButterflyOfFire, Mehyar, Mehyar Al Shammas, Muhammed Al-Basha, abdelbasset jabrane, الزُّبَير, عمار
Asturian;Hugoren Martinako, Víctor Quirós
Azerbaijani;Mücteba Nesiri, OlliesGudh, Ya Mur
Basque;Eder Etxebarria Rojo
Belarusian;Jaŭhien, kapatych
Bengali;Anonymous
Breton;AP
Bulgarian;jnbrains, ҍӀąղҟ
Catalan;Adolfo Jayme Barrientos, Ander Romero, Hugoren Martinako, Ic0n, Ricard Rodríguez
Chinese (Simplified);Sketch6580, hexie, 大王叫我来巡山
Chinese (Traditional);AgFlore, Kerry Lu, Pellaeon Lin, samko5sam, 大王叫我来巡山
Czech;Martin D, Petr Čech, Vladan Kudláč, ikanakova, multiflexi
Danish;ERYpTION, Jesper Hertel
Dutch;Frits van Bommel
Estonian;OlliesGudh, Priit Jõerüüt, rimasx
Filipino;Wacky Wars
Finnish;Jaakko Rantamäki, Kalle Kniivilä, Kieli Puoli, Lilli, Petri Hämäläinen, Ricky Tigg
French;ButterflyOfFire, Matth78
Ga;Anonymous
Galician;Hugoren Martinako, Iago, josé m.
German;Ettore Atalan, Kachelkaiser, VfBFan, kalchen6666
Hebrew;Yaron Shahrabani
Hindi;Harshit Sethi, KhubsuratInsaan
Hu;Balázs Attila, Balázs Meskó
Indonesian;Adrien N, Arif Budiman, kharrr69
Italian;Champ0999, Giovanni Donisi, Luca
Japanese;Shuuji TAKAHASHI (shuuji3)
Kannada (India);Anonymous
Ko;DY
Lithuanian;Marija Grineviciute, kalchen6666
Macedonian;AND, Kristijan \Fremen\ Velkovski
Malayalam;Habeeb Mohammed, Nikhil Krishnakumar
Modern Greek;GiannosOB, axilleas tsimp, korni, Λευτέρης Τ.
Norwegian Bokmål;EdoAug, Kjetil Sørlund
Persian;Alireza Rashidi, Danial Behzadi
Polish;Anita Aaa, Antoni Jurczyk, Eryk Michalak, Koen, M8nk, Marcin P, MattSolo451, NameDividedBy5, drpt, fangolin, przmkg
Portuguese;Filipe Mota (BlackSpirits), Sérgio Marques, ssantos
Portuguese (Brazil);Andre Bastos, Daltux, Felipe.Plattek, Gabriel, Murcielago, OlliesGudh, Willian Soares Batista, burns
Romanian;Gabriel Preda, Mozart Michael, Nicodim Ştefan
Russian;George Bogdanoff, Igor, Jin Xiashomi, Maksim_220 Кабанов, Yurt Page, homocomputeris, hyperflint
Sardinian;Adrià Martín
Serbian;NEXI
Slovak;Jakub Dugovič, Martin, Tibor Blažko
Slovenian;Kaboom, nilo mind
Spanish;Adolfo Jayme Barrientos, Alex G, CJ Montero, Hugoren Martinako, Iago, Isaí Moreno Mendoza, Libre, LordTenebrous, Lorenzio, Tagomago, gallegonovato
Swahili;Anonymous
Swedish;Efraim Sundelin, Joel A, Jonatan Nyberg, Martin Bergström, bittin1ddc447d824349b2, opExe
Tatar;Anonymous
Telugu;Anonymous
Turkish;Abdullah Bagyapan, Bora Atıcı, Muhammed Harun SÜZGEÇ, Oğuz Ersen, Sxi, polarwood, İsmail Şevik
Ukrainian;Ada Melentyeva, Andrii Serbovets, Danylo Lystopadov, Максим Горпиніч
Vietnamese;Flowerlywind, Thu Trang Pham
